get sbook, 127.0.0.1, 34259, 2021-05-12, 19:14:19
pwd, 127.0.0.1, 34259, 2021-05-12, 19:14:19
cd .., 127.0.0.1, 30931, 2021-05-12, 19:14:22
ls, 127.0.0.1, 30931, 2021-05-12, 19:14:24
get commons.c, 127.0.0.1, 30931, 2021-05-12, 19:14:41
cd server, 127.0.0.1, 30931, 2021-05-12, 19:14:47
put ccode, 127.0.0.1, 34259, 2021-05-12, 19:14:54
ls, 127.0.0.1, 34259, 2021-05-12, 19:14:56
logout, 127.0.0.1, 34259, 2021-05-12, 19:15:04
login root:, 127.0.0.1, 21972, 2021-05-12, 19:15:05
get stest504, 127.0.0.1, 21972, 2021-05-12, 19:15:19
put ctest1008, 127.0.0.1, 21972, 2021-05-12, 19:15:28
logout, 127.0.0.1, 21972, 2021-05-12, 19:15:33
logout, 127.0.0.1, 30931, 2021-05-12, 19:15:36
login root:, 127.0.0.1, 34545, 2021-06-13, 13:51:30
ls, 127.0.0.1, 34545, 2021-06-13, 13:51:31
login root:, 127.0.0.1, 9202, 2021-06-13, 13:52:30
ls, 127.0.0.1, 9202, 2021-06-13, 13:52:31
logout, 127.0.0.1, 9202, 2021-06-13, 13:52:35
login root:, 127.0.0.1, 63986, 2021-06-13, 13:53:49
ls, 127.0.0.1, 63986, 2021-06-13, 13:53:50
login root:, 127.0.0.1, 11763, 2021-06-13, 13:54:09
login root:, 127.0.0.1, 15091, 2021-06-13, 13:54:15
pwd, 127.0.0.1, 15091, 2021-06-13, 13:54:19
get sbook.txt, 127.0.0.1, 11763, 2021-06-13, 13:54:27
put ccode.cc, 127.0.0.1, 63986, 2021-06-13, 13:54:36
ls, 127.0.0.1, 63986, 2021-06-13, 13:54:38
cd .., 127.0.0.1, 11763, 2021-06-13, 13:54:41
ls, 127.0.0.1, 11763, 2021-06-13, 13:54:42
get server.c, 127.0.0.1, 11763, 2021-06-13, 13:54:49
ls, 127.0.0.1, 11763, 2021-06-13, 13:54:51
cd server, 127.0.0.1, 11763, 2021-06-13, 13:54:57
put ctest1008.txt, 127.0.0.1, 15091, 2021-06-13, 13:55:15
put ctest504.txt, 127.0.0.1, 15091, 2021-06-13, 13:55:20
ls, 127.0.0.1, 15091, 2021-06-13, 13:55:28
get server.log, 127.0.0.1, 15091, 2021-06-13, 13:55:34
logout, 127.0.0.1, 63986, 2021-06-13, 13:55:40
get stest1008.txt, 127.0.0.1, 15091, 2021-06-13, 13:56:01
login root:, 127.0.0.1, 24308, 2021-06-13, 13:56:05
logout, 127.0.0.1, 15091, 2021-06-13, 13:56:13
pwd, 127.0.0.1, 24308, 2021-06-13, 13:56:29
logout, 127.0.0.1, 24308, 2021-06-13, 13:56:32
logout, 127.0.0.1, 11763, 2021-06-13, 13:56:34
login root:, 127.0.0.1, 62965, 2021-06-13, 13:58:42
ls, 127.0.0.1, 62965, 2021-06-13, 13:58:43
login root:, 127.0.0.1, 3062, 2021-06-13, 13:58:50
login root:, 127.0.0.1, 5622, 2021-06-13, 13:58:53
get sbook.txt, 127.0.0.1, 62965, 2021-06-13, 13:59:03
pwd, 127.0.0.1, 3062, 2021-06-13, 13:59:11
get server.log, 127.0.0.1, 3062, 2021-06-13, 13:59:19
put ccode.cc, 127.0.0.1, 3062, 2021-06-13, 13:59:34
ls, 127.0.0.1, 3062, 2021-06-13, 13:59:36
cd .., 127.0.0.1, 5622, 2021-06-13, 13:59:49
ls, 127.0.0.1, 5622, 2021-06-13, 13:59:51
get client.c, 127.0.0.1, 5622, 2021-06-13, 13:59:57
cd server, 127.0.0.1, 5622, 2021-06-13, 14:00:00
logout, 127.0.0.1, 62965, 2021-06-13, 14:00:05
login root:, 127.0.0.1, 53494, 2021-06-13, 14:00:07
logout, 127.0.0.1, 3062, 2021-06-13, 14:00:15
logout, 127.0.0.1, 5622, 2021-06-13, 14:00:18
logout, 127.0.0.1, 53494, 2021-06-13, 14:00:20
login root:, 127.0.0.1, 52983, 2021-06-13, 14:01:44
ls, 127.0.0.1, 52983, 2021-06-13, 14:01:45
login root:, 127.0.0.1, 57591, 2021-06-13, 14:01:50
login root:, 127.0.0.1, 59383, 2021-06-13, 14:01:53
get sbook.txt, 127.0.0.1, 52983, 2021-06-13, 14:02:00
put ctest1008.txt, 127.0.0.1, 57591, 2021-06-13, 14:02:08
ls, 127.0.0.1, 57591, 2021-06-13, 14:02:09
cd .., 127.0.0.1, 59383, 2021-06-13, 14:02:13
ls, 127.0.0.1, 59383, 2021-06-13, 14:02:18
get server.c, 127.0.0.1, 59383, 2021-06-13, 14:02:22
cd server, 127.0.0.1, 59383, 2021-06-13, 14:02:25
put ccode.cc, 127.0.0.1, 52983, 2021-06-13, 14:02:36
logout, 127.0.0.1, 57591, 2021-06-13, 14:02:39
login root:, 127.0.0.1, 24568, 2021-06-13, 14:02:40
logout, 127.0.0.1, 52983, 2021-06-13, 14:02:45
logout, 127.0.0.1, 59383, 2021-06-13, 14:02:48
logout, 127.0.0.1, 24568, 2021-06-13, 14:02:50
login root:, 127.0.0.1, 24057, 2021-06-13, 14:04:11
ls, 127.0.0.1, 24057, 2021-06-13, 14:04:14
login root:, 127.0.0.1, 34041, 2021-06-13, 14:04:25
login root:, 127.0.0.1, 40185, 2021-06-13, 14:04:32
get sbook.txt, 127.0.0.1, 24057, 2021-06-13, 14:04:37
put ccode.cc, 127.0.0.1, 34041, 2021-06-13, 14:04:48
put ctest1008.txt, 127.0.0.1, 34041, 2021-06-13, 14:04:57
ls, 127.0.0.1, 24057, 2021-06-13, 14:05:01
cd .., 127.0.0.1, 40185, 2021-06-13, 14:05:06
ls, 127.0.0.1, 40185, 2021-06-13, 14:05:09
get server.c, 127.0.0.1, 40185, 2021-06-13, 14:05:14
cd server, 127.0.0.1, 40185, 2021-06-13, 14:05:17
logout, 127.0.0.1, 34041, 2021-06-13, 14:05:23
login root:, 127.0.0.1, 13818, 2021-06-13, 14:05:31
get stest1008.txt, 127.0.0.1, 13818, 2021-06-13, 14:05:44
logout, 127.0.0.1, 13818, 2021-06-13, 14:05:47
logout, 127.0.0.1, 24057, 2021-06-13, 14:05:53
logout, 127.0.0.1, 40185, 2021-06-13, 14:05:58
